SKlearnNNAI1,SKlearnNNAI2,SKlearnNNAI1_score,SKlearnNNAI2_score,win_rate
0,1,0,1,0.0
0,1,0,2,0.0
0,1,0,3,0.0
1,0,1,3,0.25
0,0,1,3,0.2
1,0,2,3,0.3333333333333333
1,0,3,3,0.42857142857142855
0,1,3,4,0.375
0,0,3,4,0.3333333333333333
0,1,3,5,0.3
0,1,3,6,0.2727272727272727
0,1,3,7,0.25
1,0,4,7,0.3076923076923077
0,1,4,8,0.2857142857142857
1,0,5,8,0.3333333333333333
1,0,6,8,0.375
1,0,7,8,0.4117647058823529
1,0,8,8,0.4444444444444444
1,0,9,8,0.47368421052631576
0,1,9,9,0.45
0,1,9,10,0.42857142857142855
0,1,9,11,0.4090909090909091
1,0,10,11,0.43478260869565216
0,1,10,12,0.4166666666666667
0,1,10,13,0.4
1,0,11,13,0.4230769230769231
0,1,11,14,0.4074074074074074
0,0,11,14,0.39285714285714285
0,1,11,15,0.3793103448275862
0,1,11,16,0.36666666666666664
1,0,12,16,0.3870967741935484
1,0,13,16,0.40625
1,0,14,16,0.42424242424242425
0,1,14,17,0.4117647058823529
0,1,14,18,0.4
0,0,14,18,0.3888888888888889
0,0,14,18,0.3783783783783784
0,1,14,19,0.3684210526315789
0,1,14,20,0.358974358974359
0,1,14,21,0.35
1,0,15,21,0.36585365853658536
1,0,16,21,0.38095238095238093
0,1,16,22,0.37209302325581395
0,1,16,23,0.36363636363636365
0,1,16,24,0.35555555555555557
1,0,17,24,0.3695652173913043
1,0,18,24,0.3829787234042553
0,1,18,25,0.375
0,1,18,26,0.3673469387755102
0,1,18,27,0.36
1,0,19,27,0.37254901960784315
0,1,19,28,0.36538461538461536
0,0,19,28,0.3584905660377358
0,0,19,28,0.35185185185185186
0,1,19,29,0.34545454545454546
1,0,20,29,0.35714285714285715
0,0,20,29,0.3508771929824561
0,1,20,30,0.3448275862068966
0,1,20,31,0.3389830508474576
0,1,20,32,0.3333333333333333
1,0,21,32,0.3442622950819672
1,0,22,32,0.3548387096774194
0,1,22,33,0.3492063492063492
1,0,23,33,0.359375
0,1,23,34,0.35384615384615387
1,0,24,34,0.36363636363636365
1,0,25,34,0.373134328358209
1,0,26,34,0.38235294117647056
1,0,27,34,0.391304347826087
0,1,27,35,0.38571428571428573
0,0,27,35,0.38028169014084506
1,0,28,35,0.3888888888888889
0,1,28,36,0.3835616438356164
0,1,28,37,0.3783783783783784
0,1,28,38,0.37333333333333335
1,0,29,38,0.3815789473684211
0,1,29,39,0.37662337662337664
1,0,30,39,0.38461538461538464
